payload_entropy,topic_diversity,temporal_clustering_score,normal_emergency_ratio,inter_alert_interval_mean,freq_rolling_std_5w,inter_interval_variance,alert_rate_acceleration,label,attack_type,window_start_time
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T14:22:31+00:00
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T14:32:31+00:00
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T14:42:31+00:00
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T14:52:31+00:00
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T15:02:31+00:00
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T15:12:31+00:00
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T15:22:31+00:00
0.0,0.0,1.0,1811.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T15:32:31+00:00
0.0,0.0,1.0,1449.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T15:42:31+00:00
0.0,0.0,1.0,1087.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T15:52:31+00:00
0.0,0.0,1.0,725.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T16:02:31+00:00
0.0,0.0,1.0,363.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T16:12:31+00:00
0.0,0.0,1.0,1.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T16:22:31+00:00
0.0,0.0,1.0,363.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T19:32:31+00:00
0.0,0.0,1.0,725.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T19:42:31+00:00
0.0,0.0,1.0,1087.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T19:52:31+00:00
0.0,0.0,1.0,1449.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T20:02:31+00:00
0.0,0.0,1.0,1811.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T20:12:31+00:00
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T20:22:31+00:00
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T20:32:31+00:00
4.198708371374835,2.0,1.0,166.15384615384616,0.0273930905386805,5.813776741499454,8.10588969683708e-17,13.0,1,normal,2026-02-24T20:42:31+00:00
4.198708371374835,2.0,1.0,166.15384615384616,0.0273930905386805,7.12039324756716,8.10588969683708e-17,13.0,1,normal,2026-02-24T20:52:31+00:00
4.198708371374835,2.0,1.0,166.15384615384616,0.0273930905386805,7.12039324756716,8.10588969683708e-17,13.0,1,normal,2026-02-24T21:02:31+00:00
4.198708371374835,2.0,1.0,166.15384615384616,0.0273930905386805,5.813776741499454,8.10588969683708e-17,-13.0,1,normal,2026-02-24T21:12:31+00:00
4.198708371374835,2.0,1.0,166.15384615384616,0.0273930905386805,0.0,8.10588969683708e-17,-13.0,1,normal,2026-02-24T21:22:31+00:00
4.198708371374835,2.0,1.0,166.23076923076923,0.0273930905386805,0.0,8.10588969683708e-17,-13.0,1,normal,2026-02-24T21:32:31+00:00
0.0,0.0,1.0,2174.0,0.0273930907926776,5.813776741499454,0.0,0.0,1,normal,2026-02-24T21:42:31+00:00
0.0,0.0,1.0,2174.0,0.0273930907926776,7.12039324756716,0.0,0.0,1,normal,2026-02-24T21:52:31+00:00
0.0,0.0,1.0,2174.0,0.0273930907926776,7.12039324756716,0.0,0.0,1,normal,2026-02-24T22:02:31+00:00
0.0,0.0,1.0,2174.0,0.0273930907926776,5.813776741499454,0.0,0.0,1,normal,2026-02-24T22:12:31+00:00
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-24T22:22:31+00:00
4.404297744632956,2.0,1.0,166.15384615384616,0.0273930902282396,5.813776741499454,5.887546342709162e-17,13.0,1,normal,2026-02-24T22:32:31+00:00
4.404297744632956,2.0,1.0,166.15384615384616,0.0273930902282396,7.12039324756716,5.887546342709162e-17,13.0,1,normal,2026-02-24T22:42:31+00:00
4.404297744632956,2.0,1.0,166.15384615384616,0.0273930902282396,7.12039324756716,5.887546342709162e-17,13.0,1,normal,2026-02-24T22:52:31+00:00
4.404297744632956,2.0,1.0,166.15384615384616,0.0273930902282396,5.813776741499454,5.887546342709162e-17,-13.0,1,normal,2026-02-24T23:02:31+00:00
4.404297744632956,2.0,1.0,166.15384615384616,0.0273930902282396,0.0,5.887546342709162e-17,-13.0,1,normal,2026-02-24T23:12:31+00:00
4.404297744632956,2.0,1.0,166.15384615384616,0.0273930902282396,0.0,5.887546342709162e-17,-13.0,1,normal,2026-02-24T23:22:31+00:00
0.0,0.0,1.0,2174.0,0.0273930907926776,5.813776741499454,0.0,0.0,1,normal,2026-02-24T23:32:31+00:00
0.0,0.0,1.0,2174.0,0.0273930907926776,7.12039324756716,0.0,0.0,1,normal,2026-02-24T23:42:31+00:00
0.0,0.0,1.0,2174.0,0.0273930907926776,7.12039324756716,0.0,0.0,1,normal,2026-02-24T23:52:31+00:00
0.0,0.0,1.0,2174.0,0.0273930907926776,5.813776741499454,0.0,0.0,1,normal,2026-02-25T00:02:31+00:00
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-25T00:12:31+00:00
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-25T00:22:31+00:00
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-25T00:32:31+00:00
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-25T00:42:31+00:00
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-25T00:52:31+00:00
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-25T01:02:31+00:00
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal,2026-02-25T01:12:31+00:00
